,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,RFX1_1,,,,,,,,,,,,,,,,,,,,,,,
B,RPD3_1,,,,,,,,,,,,,,,,,,,,,,,
C,SPT3_1,,,,,,,,,,,,,,,,,,,,,,,
D,TFC7_1,,,,,,,,,,,,,,,,,,,,,,,
E,RGR1_1,,,,,,,,,,,,,,,,,,,,,,,
F,RGR1_2,,,,,,,,,,,,,,,,,,,,,,,
G,YAP6_1,,,,,,,,,,,,,,,,,,,,,,,
H,YAP6_2,,,,,,,,,,,,,,,,,,,,,,,
I,,,,,,,,,,,,,,,,,,,,,,,,
J,,,,,,,,,,,,,,,,,,,,,,,,
K,,,,,,,,,,,,,,,,,,,,,,,,
L,,,,,,,,,,,,,,,,,,,,,,,,
M,,,,,,,,,,,,,,,,,,,,,,,,
N,,,,,,,,,,,,,,,,,,,,,,,,
O,,,,,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,,,,,
