,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,RFX1_1,,,,,,,,,,,,,,,,,,,,,,,
B,RGR1_1,,,,,,,,,,,,,,,,,,,,,,,
C,RGR1_2,,,,,,,,,,,,,,,,,,,,,,,
D,RPD3_1,,,,,,,,,,,,,,,,,,,,,,,
E,RPD3_2,,,,,,,,,,,,,,,,,,,,,,,
F,SPT3_1,,,,,,,,,,,,,,,,,,,,,,,
G,SPT3_2,,,,,,,,,,,,,,,,,,,,,,,
H,YAP6_1,,,,,,,,,,,,,,,,,,,,,,,
I,YAP6_2,,,,,,,,,,,,,,,,,,,,,,,
J,YAP6_3,,,,,,,,,,,,,,,,,,,,,,,
K,TFC7_1,,,,,,,,,,,,,,,,,,,,,,,
L,TFC7_2,,,,,,,,,,,,,,,,,,,,,,,
M,TFC7_3,,,,,,,,,,,,,,,,,,,,,,,
N,,,,,,,,,,,,,,,,,,,,,,,,
O,,,,,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,,,,,
