,Source Well,Transfer Volume,Destination Well,ID,Gene
0,A1,2500.0,A1,1,RGR1
1,A1,2500.0,A1,1,RGR1
2,A1,2500.0,B1,1,RGR1
3,A1,2500.0,B1,1,RGR1
4,A1,2500.0,C1,1,RGR1
5,A1,2500.0,C1,1,RGR1
6,B1,2500.0,D1,2,RPD3
7,B1,2500.0,D1,2,RPD3
8,B1,2500.0,E1,2,RPD3
9,B1,2500.0,E1,2,RPD3
10,B1,2500.0,F1,2,RPD3
11,B1,2500.0,F1,2,RPD3
12,C1,2500.0,G1,3,SPT3
13,C1,2500.0,G1,3,SPT3
14,C1,2500.0,H1,3,SPT3
15,C1,2500.0,H1,3,SPT3
16,C1,2500.0,A2,3,SPT3
17,C1,2500.0,A2,3,SPT3
18,E1,2500.0,B2,4,YAP6
19,E1,2500.0,B2,4,YAP6
20,E1,2500.0,C2,4,YAP6
21,E1,2500.0,C2,4,YAP6
22,E1,2500.0,D2,4,YAP6
23,E1,2500.0,D2,4,YAP6
24,H1,2500.0,E2,5,TFC7
25,H1,2500.0,E2,5,TFC7
26,H1,2500.0,F2,5,TFC7
27,H1,2500.0,F2,5,TFC7
28,H1,2500.0,G2,5,TFC7
29,H1,2500.0,G2,5,TFC7
30,B1,2500.0,H2,6,RPD3
31,B1,2500.0,H2,6,RPD3
32,B1,2500.0,A3,6,RPD3
33,B1,2500.0,A3,6,RPD3
34,B1,2500.0,B3,6,RPD3
35,B1,2500.0,B3,6,RPD3
36,C1,2500.0,C3,7,SPT3
37,C1,2500.0,C3,7,SPT3
38,C1,2500.0,D3,7,SPT3
39,C1,2500.0,D3,7,SPT3
40,C1,2500.0,E3,7,SPT3
41,C1,2500.0,E3,7,SPT3
42,E1,2500.0,F3,8,YAP6
43,E1,2500.0,F3,8,YAP6
44,E1,2500.0,G3,8,YAP6
45,E1,2500.0,G3,8,YAP6
46,E1,2500.0,H3,8,YAP6
47,E1,2500.0,H3,8,YAP6
48,H1,2500.0,A4,9,TFC7
49,H1,2500.0,A4,9,TFC7
50,H1,2500.0,B4,9,TFC7
51,H1,2500.0,B4,9,TFC7
52,H1,2500.0,C4,9,TFC7
53,H1,2500.0,C4,9,TFC7
54,C1,2500.0,D4,10,SPT3
55,C1,2500.0,D4,10,SPT3
56,C1,2500.0,E4,10,SPT3
57,C1,2500.0,E4,10,SPT3
58,D1,2500.0,F4,10,SPT3
59,D1,2500.0,F4,10,SPT3
60,E1,2500.0,G4,11,YAP6
61,E1,2500.0,G4,11,YAP6
62,E1,2500.0,H4,11,YAP6
63,E1,2500.0,H4,11,YAP6
64,F1,2500.0,A5,11,YAP6
65,F1,2500.0,A5,11,YAP6
66,H1,2500.0,B5,12,TFC7
67,H1,2500.0,B5,12,TFC7
68,H1,2500.0,C5,12,TFC7
69,H1,2500.0,C5,12,TFC7
70,I1,2500.0,D5,12,TFC7
71,I1,2500.0,D5,12,TFC7
72,F1,2500.0,E5,13,YAP6
73,F1,2500.0,E5,13,YAP6
74,F1,2500.0,F5,13,YAP6
75,F1,2500.0,F5,13,YAP6
76,F1,2500.0,G5,13,YAP6
77,F1,2500.0,G5,13,YAP6
78,I1,2500.0,H5,14,TFC7
