,Source Well,Transfer Volume,Destination Well,ID,Gene
0,A1,2500.0,A1,1,OPI1
1,A1,2500.0,A1,1,OPI1
2,A1,2500.0,B1,1,OPI1
3,A1,2500.0,B1,1,OPI1
4,A1,2500.0,C1,1,OPI1
5,A1,2500.0,C1,1,OPI1
6,B1,2500.0,D1,2,RFX1
7,B1,2500.0,D1,2,RFX1
8,B1,2500.0,E1,2,RFX1
9,B1,2500.0,E1,2,RFX1
10,B1,2500.0,F1,2,RFX1
11,B1,2500.0,F1,2,RFX1
12,C1,2500.0,G1,3,RGR1
13,C1,2500.0,G1,3,RGR1
14,C1,2500.0,H1,3,RGR1
15,C1,2500.0,H1,3,RGR1
16,C1,2500.0,A2,3,RGR1
17,C1,2500.0,A2,3,RGR1
18,E1,2500.0,B2,4,RPD3
19,E1,2500.0,B2,4,RPD3
20,E1,2500.0,C2,4,RPD3
21,E1,2500.0,C2,4,RPD3
22,E1,2500.0,D2,4,RPD3
23,E1,2500.0,D2,4,RPD3
24,G1,2500.0,E2,5,SPT3
25,G1,2500.0,E2,5,SPT3
26,G1,2500.0,F2,5,SPT3
27,G1,2500.0,F2,5,SPT3
28,G1,2500.0,G2,5,SPT3
29,G1,2500.0,G2,5,SPT3
30,I1,2500.0,H2,6,YAP6
31,I1,2500.0,H2,6,YAP6
32,I1,2500.0,A3,6,YAP6
33,I1,2500.0,A3,6,YAP6
34,I1,2500.0,B3,6,YAP6
35,I1,2500.0,B3,6,YAP6
36,L1,2500.0,C3,7,TFC7
37,L1,2500.0,C3,7,TFC7
38,L1,2500.0,D3,7,TFC7
39,L1,2500.0,D3,7,TFC7
40,L1,2500.0,E3,7,TFC7
41,L1,2500.0,E3,7,TFC7
42,A1,2500.0,F3,8,OPI1
43,A1,2500.0,F3,8,OPI1
44,A1,2500.0,G3,8,OPI1
45,A1,2500.0,G3,8,OPI1
46,A1,2500.0,H3,8,OPI1
47,A1,2500.0,H3,8,OPI1
48,B1,2500.0,A4,9,RFX1
49,B1,2500.0,A4,9,RFX1
50,B1,2500.0,B4,9,RFX1
51,B1,2500.0,B4,9,RFX1
52,B1,2500.0,C4,9,RFX1
53,B1,2500.0,C4,9,RFX1
54,C1,2500.0,D4,10,RGR1
55,C1,2500.0,D4,10,RGR1
56,C1,2500.0,E4,10,RGR1
57,C1,2500.0,E4,10,RGR1
58,C1,2500.0,F4,10,RGR1
59,C1,2500.0,F4,10,RGR1
60,E1,2500.0,G4,11,RPD3
61,E1,2500.0,G4,11,RPD3
62,E1,2500.0,H4,11,RPD3
63,E1,2500.0,H4,11,RPD3
64,E1,2500.0,A5,11,RPD3
65,E1,2500.0,A5,11,RPD3
