,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,OPI1_1,,,,,,,,,,,,,,,,,,,,,,,
B,RFX1_1,,,,,,,,,,,,,,,,,,,,,,,
C,RGR1_1,,,,,,,,,,,,,,,,,,,,,,,
D,RGR1_2,,,,,,,,,,,,,,,,,,,,,,,
E,RPD3_1,,,,,,,,,,,,,,,,,,,,,,,
F,RPD3_2,,,,,,,,,,,,,,,,,,,,,,,
G,SPT3_1,,,,,,,,,,,,,,,,,,,,,,,
H,SPT3_2,,,,,,,,,,,,,,,,,,,,,,,
I,YAP6_1,,,,,,,,,,,,,,,,,,,,,,,
J,YAP6_2,,,,,,,,,,,,,,,,,,,,,,,
K,YAP6_3,,,,,,,,,,,,,,,,,,,,,,,
L,TFC7_1,,,,,,,,,,,,,,,,,,,,,,,
M,TFC7_2,,,,,,,,,,,,,,,,,,,,,,,
N,TFC7_3,,,,,,,,,,,,,,,,,,,,,,,
O,,,,,,,,,,,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,,,,,
